group_id,generation,class_code,group_number,n_members,online_ratio,master_ratio,major_diversity,leave_rate,exc_rate,point_mean,point_sum,months,pred_point_mean_oof,pred_point_mean_full,pred_leave_prob,pred_leave_prob_full,pred_exc_prob,pred_exc_prob_full
10_3_10,10,3,10,4,1.0,0.25,1.0,0.0,0.0,0.475,1.9,4.0,0.43514204873059004,0.47469007808413494,0.19950446335849367,0.17518539089180632,0.14605144267560027,0.14103830102091766
10_3_11,10,3,11,4,0.0,0.25,0.75,0.0,0.0,1.4,5.6,4.0,0.6554617730379187,0.8825044527617445,0.185686188773227,0.17216997172057577,0.14989373767407652,0.13849160076068956
10_3_12,10,3,12,4,1.0,0.25,1.0,0.0,0.0,0.625,2.5,4.0,0.4687630232036484,0.47469007808413494,0.19514591397574596,0.1982676197316207,0.19112780329806084,0.16727350289993964
10_3_14,10,3,14,4,1.0,0.25,0.75,0.0,0.0,0.2,0.8,4.0,0.41398769129327423,0.2713935367094324,0.17407225208322413,0.16216138066064043,0.1480808213291993,0.15177585521279646
10_3_15,10,3,15,4,0.0,0.25,0.75,0.0,0.0,1.05,4.2,4.0,0.8936555370670995,0.8825044527617445,0.19995158659088763,0.16347285724730692,0.08719109620683874,0.09409993646700239
10_3_16,10,3,16,4,1.0,0.25,1.0,0.0,0.0,-0.125,-0.5,4.0,0.5941742123617125,0.47469007808413494,0.1837213356941378,0.16132496239684677,0.1142519873222588,0.10771149924392728
10_3_17,10,3,17,4,0.0,0.25,1.0,0.0,0.0,0.47500000000000003,1.9000000000000001,4.0,0.5570300998962462,0.5457056064306065,0.20878736001031756,0.19181498753347145,0.1298676013562174,0.11465670487657419
10_3_2,10,3,2,5,1.0,0.2,0.8,0.2,0.0,0.0,0.0,4.0,0.37469292692261424,0.07209810921717166,0.19419952824316228,0.19640828637701016,0.15309019933332985,0.13212667182514556
10_3_3,10,3,3,4,1.0,0.25,1.0,0.0,0.0,0.775,3.1,4.0,0.37474069792090653,0.47469007808413494,0.16385115875487885,0.15504309007391118,0.16288734448766334,0.15300427768197294
10_3_4,10,3,4,4,1.0,0.25,1.0,0.0,0.0,0.25,1.0,4.0,0.4687630232036484,0.47469007808413494,0.2165495855821171,0.1804579027484744,0.13668887063016122,0.11777183645814332
10_3_6,10,3,6,5,1.0,0.2,0.8,0.0,0.0,-0.5,-2.0,4.0,0.6171673074340789,0.2537262534225036,0.19415947016356022,0.17822387174563173,0.12010559962724879,0.10401919832230395
10_3_7,10,3,7,4,1.0,0.25,1.0,0.0,0.0,0.7749999999999999,3.0999999999999996,4.0,0.37474069792090653,0.47469007808413494,0.21227822762669762,0.21370460022193738,0.13307117017080655,0.12032250921667811
10_3_8,10,3,8,4,0.0,0.25,1.0,0.0,0.0,0.25,1.0,4.0,0.6752264991181659,0.5457056064306065,0.14421267015398825,0.14472864031109586,0.16391846750993638,0.15190926123017667
10_3_9,10,3,9,5,1.0,0.2,1.0,0.0,0.0,1.4,5.6,4.0,0.5255887043936007,0.6406618327569316,0.19304905307288373,0.1889530042770237,0.13630592628557756,0.12200503209434994
10_4_1,10,4,1,5,1.0,0.2,0.6,0.0,0.0,0.3,1.2,4.0,0.6614155770279101,0.4383888185194441,0.40381256673579624,0.406047780954425,0.2931989797871593,0.27348642641270016
10_4_3,10,4,3,5,1.0,0.2,0.6,0.8,0.0,-0.5,-1.0,2.0,0.5148005588624336,0.06364720293209872,0.36783953884963566,0.4923790513026466,0.24594670159642512,0.21547480156192803
10_4_4,10,4,4,5,0.0,0.0,1.0,0.2,0.0,0.3,1.2,4.0,0.2277916376062212,0.29182932056369587,0.36310059598518957,0.37413568504645633,0.246855469479156,0.226959816170345
10_4_5,10,4,5,5,1.0,0.2,1.0,0.0,0.0,0.8500000000000001,3.4000000000000004,4.0,0.5871690428437301,0.6808451639409971,0.39604323100304567,0.3563376449276213,0.3096535335660664,0.29553174237675256
10_4_6,10,4,6,5,1.0,0.2,1.0,0.4,0.0,0.95,3.8,4.0,0.1950033002645503,0.5503049315075352,0.3709597652614126,0.4555311547682094,0.246857580347023,0.23669553851156877
10_4_7,10,4,7,5,0.0,0.2,1.0,0.0,0.0,0.9,3.6,4.0,0.41480089716610513,0.646171503477233,0.37528731376788954,0.3545254280604119,0.2537446598141187,0.2261781323420434
10_4_8,10,4,8,5,0.0,0.2,1.0,0.2,0.0,-0.125,-0.5,4.0,0.591440207782187,0.33425380248609465,0.3235811402763848,0.33897489038649214,0.21917028432637867,0.19465282648555168
10_4_9,10,4,9,3,0.0,0.3333333333333333,1.0,0.0,0.0,0.2,0.8,4.0,0.46208184408184394,0.29286884169071636,0.3679902324096625,0.3592379799022481,0.243707635616214,0.2343556859139392
10_5_1,10,5,1,5,0.0,0.2,1.0,0.0,0.0,0.3,1.2,4.0,0.8463695739638454,0.6575864999198334,0.2219077804094721,0.1825429683945184,0.3824829906058118,0.3739237266197429
10_5_2,10,5,2,5,1.0,0.2,1.0,0.2,0.0,-0.125,-0.5,4.0,0.3033256892528768,0.3279724018959437,0.29527674919698466,0.32479681796026044,0.381358208778114,0.3802083654893603
10_5_3,10,5,3,3,1.0,0.3333333333333333,1.0,0.0,0.0,-0.125,-0.5,4.0,0.44527094030583614,0.04870026354818021,0.26703027642661387,0.2566725645787418,0.34760363022064683,0.3636633586779198
10_5_4,10,5,4,4,1.0,0.25,1.0,0.0,0.0,0.425,1.7,4.0,0.6054537570145903,0.2108884580176767,0.2896143138122584,0.2897590729487195,0.36446612977378073,0.3859828177527089
10_6_1,10,6,1,5,0.0,0.2,1.0,0.0,0.0,1.5,6.0,4.0,0.823819614307761,0.9471701284556487,0.20599909708076072,0.20278399926117247,0.48180501349903826,0.48207900892730704
10_6_2,10,6,2,3,1.0,0.3333333333333333,1.0,0.0,0.0,1.425,5.7,4.0,-0.0142756043570627,0.37004580778018337,0.2348614978746816,0.2658199968146354,0.3974904497567757,0.40846912111083783
10_6_3,10,6,3,5,0.0,0.2,1.0,0.0,1.0,2.35,9.4,4.0,3.006142439594358,2.7089961689814803,0.2245649905603176,0.223949988892105,0.4622764778699831,0.6186031114137454
10_6_4,10,6,4,3,1.0,0.3333333333333333,1.0,0.0,0.0,-0.5,-2.0,4.0,0.7304041480571902,0.37004580778018337,0.23530869312334488,0.24985029872870712,0.39144461282823717,0.40175915733310386
10_6_5,10,6,5,4,1.0,0.25,1.0,0.0,0.0,1.025,4.1,4.0,0.5941272384579147,0.5973709748777438,0.2746068263328111,0.26038980784279075,0.3485645054989304,0.34658787452355244
10_6_6,10,6,6,4,0.0,0.25,1.0,0.0,0.0,0.8,3.2,4.0,1.1328511053090422,0.9584655548540953,0.23246605319140407,0.2185109571912011,0.4329617646153995,0.46649715974943406
10_6_7,10,6,7,4,1.0,0.25,0.75,0.0,0.0,-0.125,-0.5,4.0,0.811297956554634,0.4439352256192881,0.24720122633830954,0.2408605289999882,0.3719078452758346,0.36631181417415026
10_7_1,10,7,1,4,1.0,0.25,1.0,0.0,0.0,1.6,6.4,4.0,0.4945910043467338,1.068141347001763,0.19953043657036088,0.1845243507641512,0.2742273001384131,0.24851297519093524
10_7_2,10,7,2,3,0.0,0.3333333333333333,1.0,0.0,0.0,0.44999999999999996,1.7999999999999998,4.0,0.4771326188472019,0.5523535265852976,0.27476738563093933,0.2631764870418064,0.38286275319223306,0.36584363167687245
10_7_3,10,7,3,5,0.0,0.2,0.8,0.0,0.0,1.025,4.1,4.0,1.0913584562389766,0.9984109176240425,0.29563907992438987,0.28886206609059456,0.2723522071660266,0.29368112554681025
10_7_4,10,7,4,4,1.0,0.25,1.0,0.0,0.0,1.5750000000000002,6.300000000000001,4.0,0.4945910043467338,1.068141347001763,0.27182770416889945,0.24560993485941807,0.23836582202220924,0.20089094680079025
10_7_5,10,7,5,4,1.0,0.25,0.75,0.0,0.0,1.625,6.5,4.0,0.7760949219376306,1.12456393240941,0.2270497894538963,0.23777036624181114,0.22859864109913947,0.2344907796033738
10_7_6,10,7,6,4,0.0,0.25,1.0,0.5,0.0,0.3,1.2,4.0,0.5364332178431139,0.4852986144179893,0.2420929206205956,0.3215783501392906,0.2632752632226995,0.23872694179405915
10_7_7,10,7,7,3,1.0,0.3333333333333333,1.0,0.0,0.0,0.6,2.4,4.0,0.6030080138611384,0.6893973980880235,0.29660427057336264,0.28574086967775253,0.26340042363739735,0.2693647249384059
10_7_8,10,7,8,4,1.0,0.25,1.0,0.0,0.0,0.25,1.0,4.0,1.1965495916429252,1.068141347001763,0.35225099219399414,0.3322347000873125,0.21351418477932196,0.21528218054386503
10_8_1,10,8,1,6,1.0,0.16666666666666666,1.0,0.0,0.0,0.5,1.5,3.0,0.7380565479474237,0.6459677449094116,0.29325934979807344,0.30001732632517086,0.3446375917723068,0.35661245397591723
10_8_2,10,8,2,5,0.0,0.2,1.0,0.0,0.0,0.9666666666666668,2.9000000000000004,3.0,0.5082968229316983,0.7463423663219496,0.24704050334052113,0.20745903497825738,0.3185886825243588,0.3421062508199478
10_8_3,10,8,3,4,1.0,0.25,1.0,0.0,0.0,0.06666666666666665,0.19999999999999996,3.0,0.64461267398882,0.30660975975028065,0.26226219945466445,0.2850872085504876,0.21317191549787382,0.30010563249479766
10_8_4,10,8,4,4,0.0,0.25,0.5,0.0,0.0,0.5666666666666667,1.7,3.0,0.9412230644428881,0.9088805966718451,0.2086121750357095,0.1937005269542238,0.26292562451949086,0.29276366632829104
10_8_5,10,8,5,3,0.0,0.3333333333333333,1.0,0.0,1.0,5.5,16.5,3.0,2.5289150937500002,3.6597172964616447,0.24196532174587673,0.1974616663911232,0.3849671173168234,0.593792305119463
10_8_7,10,8,7,5,1.0,0.2,1.0,0.2,0.0,1.1333333333333333,3.4,3.0,0.28574796137889874,0.5524070082271118,0.2253621406720081,0.2571499620333506,0.36658442660750756,0.34719554332299174
10_9_1,10,9,1,4,0.0,0.25,1.0,0.0,1.0,2.5333333333333337,7.6000000000000005,3.0,2.3405638973214264,2.698092774085098,0.22928763059704224,0.1905746564676033,0.5499484376010029,0.7114510711474925
10_9_2,10,9,2,4,1.0,0.25,1.0,0.0,0.0,0.13333333333333333,0.4,3.0,0.3581956394878269,0.17190647747314414,0.3021171296443677,0.2832019040665471,0.501809795943902,0.5197113743819294
10_9_3,10,9,3,5,0.0,0.2,1.0,0.0,0.0,0.06666666666666665,0.19999999999999996,3.0,0.8686135599015177,0.5905978392556516,0.30673152606965,0.264616054046072,0.4796553558583164,0.4999709015663423
10_9_5,10,9,5,5,1.0,0.2,1.0,0.0,1.0,2.2666666666666666,6.8,3.0,1.9355561051587336,2.24977382021605,0.36335216100719303,0.3431555720654469,0.42531379843441314,0.613950571514357
10_9_6,10,9,6,5,1.0,0.2,1.0,0.0,0.0,0.0,0.0,3.0,0.7269259282384289,0.3884725569183903,0.30973891431005957,0.2981895560531079,0.567038339584079,0.5315232063880917
10_9_7,10,9,7,4,0.0,0.25,1.0,0.0,0.0,1.5333333333333332,4.6,3.0,0.37464514665504256,0.776990843654802,0.34288550456428124,0.32393316696753927,0.5154779688102129,0.5204093819532636
10_9_8,10,9,8,4,0.0,0.25,1.0,0.5,0.0,0.1333333333333333,0.3999999999999999,3.0,0.4153637498997921,0.3477575473985888,0.37008563698921787,0.4227020327091022,0.4219227962708354,0.4685823451377151
11_11_1,11,11,1,6,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,2.4000000000000004,7.200000000000001,3.0,2.577761632194968,2.8301311467853147,0.218794631878673,0.19616924879934924,0.09486337864733439,0.11248738883135646
11_11_2,11,11,2,2,1.0,0.5,1.0,0.0,0.0,0.8000000000000002,2.4000000000000004,3.0,1.3403444811361476,1.6975958661708597,0.34747030515065336,0.31187904194404564,0.1544598284330168,0.1145067316863557
11_11_3,11,11,3,3,1.0,0.3333333333333333,1.0,0.0,0.0,3.0,9.0,3.0,1.5248858605900262,1.6032242069658709,0.29815755952533834,0.2594309459590766,0.2053092503133699,0.2165412606676765
11_11_4,11,11,4,5,1.0,0.2,1.0,0.2,0.0,3.4666666666666663,10.399999999999999,3.0,2.3899699735449715,2.727326691518361,0.33732576004169995,0.3517472793012938,0.09604940603563884,0.07883037705273487
11_11_5,11,11,5,5,0.0,0.2,1.0,0.2,0.0,2.6666666666666665,8.0,3.0,3.2734234327400995,2.852845431112097,0.2597381762312486,0.2655089233018092,0.15591491922874873,0.13959407236133164
11_12_10,11,12,10,5,0.0,0.2,1.0,0.2,0.0,2.8666666666666667,8.6,3.0,3.336405888093382,3.15481884920634,0.3059363027375164,0.31566048621267473,0.07184703675838247,0.06161295951176941
11_12_2,11,12,2,4,0.0,0.25,0.5,0.0,0.0,1.4333333333333333,4.3,3.0,4.168159126984131,3.0380536215327902,0.2788930897502919,0.22251303582522508,0.10935056733039618,0.09551141921350158
11_12_3,11,12,3,4,1.0,0.25,1.0,0.75,0.0,0.9,2.7,3.0,2.1042819444444416,1.2179940696649052,0.30616607491485287,0.4751819143546335,0.08248225628292923,0.09507326546495072
11_12_5,11,12,5,3,0.0,0.3333333333333333,1.0,0.0,0.0,4.2,12.6,3.0,1.8636276720193397,2.682346614496613,0.24236753343696782,0.2764397446601871,0.10414598421357547,0.07955599192776915
11_12_6,11,12,6,3,1.0,0.3333333333333333,1.0,0.0,0.0,-0.7666666666666666,-2.3,3.0,2.2462977413019094,1.2799783034866374,0.4120342652142646,0.3754526003021761,0.06683825951800418,0.06906273824049651
11_12_7,11,12,7,6,0.0,0.16666666666666666,1.0,0.0,0.0,2.8666666666666667,8.6,3.0,1.9276149577274593,2.9620656405323027,0.3192908131269309,0.2725816699072196,0.11269801446939805,0.08807489242630488
11_12_9,11,12,9,4,1.0,0.25,1.0,0.0,0.0,5.2,15.6,3.0,1.625637477954145,3.1614001042167676,0.35761637091801135,0.3366453127929482,0.09718141305859729,0.077647823106682
11_13_1,11,13,1,4,0.0,0.25,0.75,0.0,0.0,3.266666666666667,9.8,3.0,2.8444226938185317,3.7080514409972745,0.39309783710862517,0.3305836245594515,0.13042789985061531,0.11295463675285218
11_13_2,11,13,2,4,0.0,0.25,1.0,0.25,0.0,2.766666666666667,8.3,3.0,2.143415476190475,2.4394116806033472,0.4342922132962719,0.45236490974449384,0.07995663426945038,0.0692330623137124
11_13_3,11,13,3,4,1.0,0.25,1.0,0.0,0.0,2.266666666666667,6.800000000000001,3.0,3.0021475579975556,2.694305573284738,0.5138978913872583,0.4932413379057762,0.07466194128187725,0.08407612668293885
11_13_4,11,13,4,4,0.0,0.25,0.75,0.0,0.0,4.133333333333334,12.4,3.0,3.237185934744271,3.7080514409972745,0.41643967463782294,0.3725242987356789,0.10100448671715198,0.0781435783397322
11_13_5,11,13,5,4,1.0,0.25,1.0,1.0,0.0,1.8,5.4,3.0,1.0556142636684307,1.3498592813051162,0.5397482547874461,0.6352477412970162,0.09105188217195398,0.0803198785415763
11_13_6,11,13,6,4,1.0,0.25,0.75,0.5,0.0,1.9333333333333333,5.8,3.0,1.9514585097001762,1.714874757495591,0.5295737414426274,0.5842600401261607,0.07265152827580915,0.07917871484590325
11_13_7,11,13,7,4,1.0,0.25,1.0,0.0,0.0,2.8666666666666667,8.6,3.0,2.8633490506407195,2.694305573284738,0.5194158074608214,0.5142415280171222,0.10046391522824605,0.09155420457110056
11_13_8,11,13,8,4,1.0,0.25,1.0,0.25,0.0,0.8000000000000002,2.4000000000000004,3.0,2.6920807178932207,1.8096792628667644,0.5184416496639805,0.5199629731619763,0.08673194279420564,0.09105508743275859
11_14_1,11,14,1,4,1.0,0.25,1.0,0.0,0.0,2.8000000000000003,8.4,3.0,2.7266246873496867,2.736274570799569,0.36328058945085956,0.3408182568315271,0.07148460348251627,0.058597224981262123
11_14_2,11,14,2,4,0.0,0.25,1.0,0.0,0.0,0.7333333333333334,2.2,3.0,2.75508818326735,2.1903284574992887,0.2251078104782806,0.21373808571093741,0.17745382233466112,0.16313077060895295
11_14_3,11,14,3,3,1.0,0.3333333333333333,1.0,0.0,0.0,2.3333333333333335,7.0,3.0,1.0952510578927248,1.2870908933658929,0.33816704384022583,0.31109568888241956,0.1278282988301519,0.10841302165866622
